,sampCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
5112,DE,2018,Copper compounds,41,0.0,0.0,0.0,20.0,0.0673,0.0395
5561,DE,2019,DDT (sum),343,0.0,0.0,0.0,13.0,0.0054,0.0026
5694,DE,2019,Hexachlorobenzene,343,0.0,0.0,0.0,23.0,0.0001,0.0003
5635,DE,2019,Fenthion (sum),227,0.0,0.0,0.0,1.0,0.0001,0.0
5467,DE,2019,Azinphos-ethyl,220,0.0,0.0,0.0,2.0,0.0001,0.0001
5722,DE,2019,Lambda-cyhalothrin (sum),199,0.0,0.0,0.0,1.0,0.0026,0.0
5545,DE,2019,Copper compounds,188,0.0,0.0,0.0,60.0,0.0673,0.0276
5497,DE,2019,Bromide ion,5,3.0,0.97,0.2869,0.0,0.0,0.0
6169,DE,2021,Lindane,289,0.0,0.0,0.0,3.0,0.0008,0.0001
6026,DE,2021,DDT (sum),287,0.0,0.0,0.0,10.0,0.0061,0.0035
6142,DE,2021,Hexachlorobenzene,286,0.0,0.0,0.0,14.0,0.0008,0.0
5948,DE,2021,BAC 12,196,0.0,0.0,0.0,1.0,0.013,0.0
5949,DE,2021,BAC 14,196,0.0,0.0,0.0,1.0,0.014,0.0
5950,DE,2021,BAC 16,196,1.0,1.65,0.0,0.0,0.0,0.0
5959,DE,2021,Benzalkonium chloride,196,1.0,1.65,0.0,1.0,0.027,0.0
6025,DE,2021,DDAC (mix),196,0.0,0.0,0.0,3.0,0.0247,0.0108
6012,DE,2021,Copper compounds,135,1.0,2.24,0.0,37.0,0.0965,0.1916
6180,DE,2021,Mercury compounds,128,3.0,0.02,0.0056,27.0,0.0025,0.0017
5990,DE,2021,Chlorate,17,0.0,0.0,0.0,1.0,0.015,0.0
6442,DE,2022,DDAC (mix),288,0.0,0.0,0.0,2.0,0.057,0.0346
6374,DE,2022,BAC 12,285,0.0,0.0,0.0,2.0,0.0245,0.0191
6375,DE,2022,BAC 14,285,0.0,0.0,0.0,2.0,0.043,0.0438
6385,DE,2022,Benzalkonium chloride,266,1.0,0.11,0.0,2.0,0.0115,0.0007
6443,DE,2022,DDT (sum),226,0.0,0.0,0.0,6.0,0.0047,0.0018
6564,DE,2022,HCH-beta,226,0.0,0.0,0.0,2.0,0.0024,0.0008
6569,DE,2022,Hexachlorobenzene,226,0.0,0.0,0.0,23.0,0.0006,0.0008
6429,DE,2022,Copper compounds,35,0.0,0.0,0.0,14.0,0.0559,0.0056
6849,DE,2023,DDAC (mix),188,0.0,0.0,0.0,1.0,0.021,0.0
6787,DE,2023,BAC 12,179,0.0,0.0,0.0,3.0,0.0147,0.005
6788,DE,2023,BAC 14,179,0.0,0.0,0.0,1.0,0.022,0.0
6798,DE,2023,Benzalkonium chloride,139,0.0,0.0,0.0,3.0,0.022,0.0131
6838,DE,2023,Copper compounds,41,0.0,0.0,0.0,11.0,0.0556,0.0051
7173,DE,2024,DDT (sum),274,0.0,0.0,0.0,4.0,0.0072,0.0047
7249,DE,2024,Hexachlorobenzene,274,0.0,0.0,0.0,9.0,0.0009,0.0016
7259,DE,2024,Lindane,274,0.0,0.0,0.0,3.0,0.001,0.0
7124,DE,2024,BAC 12,191,0.0,0.0,0.0,1.0,0.01,0.0
7132,DE,2024,Benzalkonium chloride,191,0.0,0.0,0.0,1.0,0.01,0.0
7150,DE,2024,Chlorate,75,1.0,0.11,0.0,0.0,0.0,0.0
7264,DE,2024,Mercury compounds,41,0.0,0.0,0.0,4.0,0.0028,0.0018
7165,DE,2024,Copper compounds,29,0.0,0.0,0.0,10.0,0.058,0.0096
7916,DK,2020,Copper compounds,7,0.0,0.0,0.0,7.0,0.04,0.0191
7946,DK,2021,Copper compounds,8,0.0,0.0,0.0,7.0,0.0152,0.0099
7960,DK,2021,Mercury compounds,8,0.0,0.0,0.0,4.0,0.0003,0.0001
7977,DK,2022,Copper compounds,10,0.0,0.0,0.0,1.0,0.052,0.0
8015,DK,2023,Copper compounds,9,0.0,0.0,0.0,9.0,0.0443,0.0082
8033,DK,2023,Mercury compounds,9,0.0,0.0,0.0,1.0,0.001,0.0
8109,EE,2012,DDT (sum),15,0.0,0.0,0.0,6.0,0.0022,0.0012
8123,EE,2012,Hexachlorobenzene,15,1.0,0.006,0.0,7.0,0.0017,0.0011
8231,EE,2015,Bromuconazole (sum),15,1.0,0.017,0.0,0.0,0.0,0.0
8713,ES,2012,DDT (sum),23,0.0,0.0,0.0,3.0,0.0116,0.0012
8773,ES,2013,DDT (sum),44,1.0,1.05,0.0707,0.0,0.0,0.0
8921,ES,2015,DDT (sum),92,0.0,0.0,0.0,5.0,0.0155,0.0068
8918,ES,2015,Cypermethrin (sum),68,0.0,0.0,0.0,1.0,0.011,0.0
10285,ES,2024,Cypermethrin (sum),17,1.0,0.071,0.0,3.0,0.0207,0.0119
10917,FR,2013,Heptachlor (sum),68,0.0,0.0,0.0,2.0,0.0004,0.0001
11473,FR,2018,Deltamethrin,48,0.0,0.0,0.0,1.0,0.002,0.0
11658,FR,2019,Dieldrin (sum),99,0.0,0.0,0.0,1.0,0.0008,0.0
11512,FR,2019,2-phenylphenol (sum),30,1.0,0.19,0.0,0.0,0.0,0.0
12623,FR,2021,Chlorpyrifos-methyl,54,0.0,0.0,0.0,1.0,0.0006,0.0
13192,FR,2022,Dieldrin (sum),87,0.0,0.0,0.0,1.0,0.005,0.0
13616,GB,2012,DDT (sum),341,0.0,0.0,0.0,8.0,0.0176,0.0063
13689,GB,2014,BAC 12,72,0.0,0.0,0.0,10.0,0.039,0.0341
13690,GB,2014,BAC 14,72,0.0,0.0,0.0,3.0,0.0367,0.0153
13692,GB,2014,Benzalkonium chloride,72,1.0,0.2,0.0,9.0,0.0344,0.0305
13701,GB,2014,DDAC (mix),72,1.0,0.7,0.0,7.0,0.0471,0.0281
13761,GB,2015,Dieldrin (sum),447,1.0,0.01,0.0,0.0,0.0,0.0
13735,GB,2015,BAC 12,187,9.0,0.2222,0.0441,43.0,0.0447,0.0291
13736,GB,2015,BAC 14,187,0.0,0.0,0.0,39.0,0.0333,0.0244
13737,GB,2015,BAC 16,187,0.0,0.0,0.0,1.0,0.01,0.0
