,sampCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
5252,DE,2019,Hexachlorobenzene,302,0.0,0.0,0.0,22.0,0.0001,0.0
5193,DE,2019,Fenthion (sum),225,0.0,0.0,0.0,1.0,0.0001,0.0
5025,DE,2019,Azinphos-ethyl,217,0.0,0.0,0.0,2.0,0.0001,0.0001
5103,DE,2019,Copper compounds,188,0.0,0.0,0.0,60.0,0.0673,0.0276
5055,DE,2019,Bromide ion,5,3.0,0.97,0.2869,0.0,0.0,0.0
5504,DE,2021,BAC 12,154,0.0,0.0,0.0,1.0,0.013,0.0
5505,DE,2021,BAC 14,154,0.0,0.0,0.0,1.0,0.014,0.0
5515,DE,2021,Benzalkonium chloride,154,0.0,0.0,0.0,1.0,0.027,0.0
5577,DE,2021,DDAC (mix),154,0.0,0.0,0.0,2.0,0.0225,0.0133
5578,DE,2021,DDT (sum),132,0.0,0.0,0.0,3.0,0.0072,0.0015
5715,DE,2021,Lindane,132,0.0,0.0,0.0,3.0,0.0008,0.0001
5689,DE,2021,Hexachlorobenzene,131,0.0,0.0,0.0,1.0,0.001,0.0
5564,DE,2021,Copper compounds,44,0.0,0.0,0.0,28.0,0.0554,0.0105
5546,DE,2021,Chlorate,15,0.0,0.0,0.0,1.0,0.015,0.0
5983,DE,2022,DDAC (mix),288,0.0,0.0,0.0,2.0,0.057,0.0346
5915,DE,2022,BAC 12,285,0.0,0.0,0.0,2.0,0.0245,0.0191
5916,DE,2022,BAC 14,285,0.0,0.0,0.0,2.0,0.043,0.0438
5926,DE,2022,Benzalkonium chloride,266,1.0,0.11,0.0,2.0,0.0115,0.0007
6109,DE,2022,Hexachlorobenzene,190,0.0,0.0,0.0,15.0,0.0001,0.0
5970,DE,2022,Copper compounds,30,0.0,0.0,0.0,14.0,0.0559,0.0056
6324,DE,2023,BAC 12,159,0.0,0.0,0.0,2.0,0.012,0.0028
6325,DE,2023,BAC 14,159,0.0,0.0,0.0,1.0,0.022,0.0
6334,DE,2023,Benzalkonium chloride,119,0.0,0.0,0.0,2.0,0.023,0.0184
6374,DE,2023,Copper compounds,34,0.0,0.0,0.0,11.0,0.0556,0.0051
