,origCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
2953,BE,2013,HCH-alpha,64,1.0,0.0115,0.0,0.0,0.0,0.0
2954,BE,2013,HCH-beta,64,8.0,0.0156,0.0053,0.0,0.0,0.0
2959,BE,2013,Heptachlor (sum),64,4.0,0.0172,0.0079,0.0,0.0,0.0
2961,BE,2013,Hexachlorobenzene,64,2.0,0.0182,0.0112,0.0,0.0,0.0
3004,BE,2013,Methoxychlor,64,1.0,0.0348,0.0,0.0,0.0,0.0
3146,BE,2014,DDT (sum),29,0.0,0.0,0.0,1.0,0.001,0.0003
3149,BE,2014,Dieldrin (sum),29,0.0,0.0,0.0,2.0,0.0011,0.0008
3150,BE,2014,Endosulfan (sum),29,0.0,0.0,0.0,1.0,0.0004,0.0
3156,BE,2014,HCH-beta,29,0.0,0.0,0.0,4.0,0.0007,0.0005
3230,BE,2015,DDT (sum),35,0.0,0.0,0.0,4.0,0.0127,0.004
3303,BE,2015,HCH-beta,35,1.0,0.0105,0.0,0.0,0.0,0.0
3514,BE,2016,DDT (sum),47,1.0,0.058,0.0,5.0,0.0234,0.0084
3526,BE,2016,Dieldrin (sum),47,1.0,0.0138,0.0,0.0,0.0,0.0
3587,BE,2016,HCH-beta,47,1.0,0.011,0.0,0.0,0.0,0.0
3593,BE,2016,Hexachlorobenzene,47,1.0,0.0307,0.0,0.0,0.0,0.0
3771,BE,2018,Copper compounds,4,0.0,0.0,0.0,2.0,0.054,0.0014
3816,BE,2019,Copper compounds,6,0.0,0.0,0.0,2.0,0.0995,0.0431
3864,BE,2021,Copper compounds,5,0.0,0.0,0.0,2.0,0.0555,0.0007
3986,BE,2022,Bromide ion,4,4.0,1.775,0.25,0.0,0.0,0.0
4008,BE,2022,Chlorate,4,0.0,0.0,0.0,1.0,0.019,0.0
4029,BE,2022,Copper compounds,4,0.0,0.0,0.0,2.0,0.0555,0.0078
4414,BE,2023,DDT (sum),34,0.0,0.0,0.0,1.0,0.035,0.0
4401,BE,2023,Chlorate,13,0.0,0.0,0.0,1.0,0.011,0.0
4408,BE,2023,Copper compounds,4,0.0,0.0,0.0,1.0,0.052,0.0
4530,BE,2024,DDT (sum),31,0.0,0.0,0.0,1.0,0.014,0.0
4517,BE,2024,Chlorate,13,0.0,0.0,0.0,1.0,0.022,0.0
4615,BG,2012,DDT (sum),14,0.0,0.0,0.0,12.0,0.0132,0.0083
4626,BG,2012,HCH-beta,14,0.0,0.0,0.0,1.0,0.0028,0.0
4628,BG,2012,Hexachlorobenzene,1,0.0,0.0,0.0,1.0,0.0023,0.0
4679,BG,2022,DDT (sum),1,0.0,0.0,0.0,1.0,0.0031,0.0003
4702,CY,2011,DDT (sum),21,0.0,0.0,0.0,1.0,0.0021,0.0002
4974,CY,2013,DDT (sum),30,0.0,0.0,0.0,1.0,0.0021,0.0002
5146,CY,2014,DDT (sum),20,0.0,0.0,0.0,3.0,0.004,0.0008
