,sampCountry,year,programme,percentage_with_pesticides,percentage_val_result,total_samples
213,RO,2012,voluntary,100.0,43.48,23
214,RO,2013,obligatory,100.0,15.62,32
215,RO,2013,voluntary,100.0,15.62,32
216,RO,2014,voluntary,100.0,28.57,14
217,RO,2015,voluntary,100.0,50.0,22
218,RO,2016,obligatory,100.0,29.63,27
219,RO,2016,voluntary,100.0,29.63,27
220,RO,2017,voluntary,100.0,50.0,2
221,RO,2019,obligatory,100.0,10.0,10
222,RO,2019,voluntary,100.0,14.29,7
223,RO,2022,obligatory,100.0,0.0,13
224,RO,2022,voluntary,100.0,0.0,13
225,RO,2023,voluntary,100.0,0.0,10
226,SE,2013,obligatory,100.0,0.0,32
227,SE,2016,obligatory,100.0,0.0,30
228,SE,2019,obligatory,100.0,0.0,15
229,SE,2020,voluntary,100.0,0.0,5
230,SE,2021,voluntary,100.0,0.0,5
231,SE,2022,obligatory,100.0,0.0,20
232,SE,2022,voluntary,100.0,0.0,5
233,SE,2023,voluntary,100.0,0.0,29
234,SE,2024,voluntary,100.0,0.0,28
235,SI,2013,obligatory,100.0,0.0,10
236,SI,2013,voluntary,100.0,0.0,10
237,SI,2014,voluntary,100.0,0.0,5
238,SI,2015,voluntary,100.0,0.0,15
239,SI,2016,obligatory,100.0,0.0,15
240,SI,2016,voluntary,100.0,0.0,15
241,SI,2017,voluntary,100.0,0.0,4
242,SI,2018,voluntary,100.0,0.0,10
243,SI,2019,obligatory,100.0,0.0,12
244,SI,2019,voluntary,100.0,0.0,12
245,SI,2020,voluntary,100.0,0.0,10
246,SI,2021,voluntary,100.0,0.0,10
247,SI,2022,obligatory,100.0,0.0,12
248,SI,2022,voluntary,100.0,0.0,12
249,SI,2023,voluntary,100.0,0.0,22
250,SI,2024,voluntary,100.0,0.0,19
251,SK,2013,obligatory,100.0,86.67,15
252,SK,2013,voluntary,100.0,60.0,5
253,SK,2015,voluntary,100.0,0.0,1
254,SK,2016,obligatory,100.0,66.67,15
255,SK,2019,obligatory,100.0,6.67,15
256,SK,2022,obligatory,100.0,0.0,12
