,paramcode,tag,long_name,obligatory,voluntary,total_samples
784,RF-0969-002-PPP,Vamidothion (sum),"Vamidothion (sum of Vamidothion, Vamidothion-sulfone and Vamidothion-sulfoxide expressed as Vamidothion)",22.0,16.0,38.0
176,RF-0092-001-PPP,Chlorotoluron (sum),Chlorotoluron,13.0,25.0,38.0
186,RF-0100-001-PPP,Clopyralid,Clopyralid,15.0,22.0,37.0
230,RF-0145-001-PPP,Dinoterb,Dinoterb,15.0,22.0,37.0
812,RF-1072-001-PPP,Metacriphos,Metacriphos,6.0,31.0,37.0
488,RF-0420-001-PPP,Thiobencarb,Thiobencarb,13.0,23.0,36.0
771,RF-0937-001-PPP,Thionazin,Thionazin,21.0,15.0,36.0
321,RF-0248-001-PPP,Imazaquin,Imazaquin,15.0,21.0,36.0
324,RF-0252-001-PPP,Iodosulfuron-methyl (sum),"Iodosulfuron-methyl (iodosulfuron-methyl including salts, expressed as iodosulfuron-methyl)",15.0,21.0,36.0
772,RF-0938-001-PPP,Thiophanate-Ethyl,Thiophanate-Ethyl,15.0,21.0,36.0
84,RF-00007585-PAR,Isofetamid,Isofetamid,0.0,35.0,35.0
262,RF-0177-001-PPP,Fenbutatin oxide,Fenbutatin oxide,15.0,20.0,35.0
569,RF-0561-001-PPP,Chlorthiophos,Chlorthiophos,21.0,14.0,35.0
72,RF-00004728-PAR,"1,4-Dimethylnaphthalene","1,4-Dimethylnaphthalene",0.0,35.0,35.0
593,RF-0597-001-PPP,Dialifos,Dialifos,26.0,8.0,34.0
11,RF-00001230-PAR,Amidosulfuron (sum),"Amidosulfuron (sum of amidosulfuron and desmethyl amidosulfuron, expressed as amidosulfuron)",15.0,19.0,34.0
331,RF-0259-001-PPP,Isoxaflutole (sum),"Isoxaflutole (sum of isoxaflutole and its diketonitrile-metabolite, expressed as isoxaflutole)",15.0,19.0,34.0
448,RF-0376-001-PPP,Pyridate (sum),"Pyridate (sum of pyridate, its hydrolysis product CL 9673 (6-chloro-4-hydroxy-3-phenylpyridazin) and hydrolysable conjugates of CL 9673 expressed as pyridate)",15.0,19.0,34.0
180,RF-0096-001-PPP,Clethodim (sum),Clethodim (sum of Sethoxydim and Clethodim including degradation products calculated as Sethoxydim),15.0,19.0,34.0
293,RF-0215-003-PPP,Fluroxypyr (sum),Fluroxypyr,15.0,19.0,34.0
27,RF-00003041-PAR,"2,4,5-T (sum)","2,4,5-T (sum of 2,4,5-T, its salts and esters, expressed as 2,4,5-T)",15.0,19.0,34.0
432,RF-0362-002-PPP,Propoxycarbazone (sum),Propoxycarbazone,15.0,19.0,34.0
244,RF-0159-001-PPP,Ethalfluralin,Ethalfluralin,17.0,17.0,34.0
583,RF-0584-001-PPP,Cyhalothrin,Cyhalothrin,21.0,12.0,33.0
279,RF-0199-001-PPP,Flubendiamide (sum),Flubendiamide,10.0,22.0,32.0
478,RF-0412-003-PPP,Terbufos (sum),Terbufos Sulfone,13.0,19.0,32.0
540,RF-0500-001-PPP,Benzoximate,Benzoximate,13.0,19.0,32.0
131,RF-0025-001-PPP,Amitrole,Amitrole,15.0,16.0,31.0
435,RF-0365-001-PPP,Proquinazid (sum),Proquinazid,0.0,31.0,31.0
674,RF-0757-001-PPP,Isofenphos (sum),Isofenphos (sum),15.0,15.0,30.0
400,RF-0334-002-PPP,Phenmedipham (sum),Phenmedipham (Methyl-N-(3-hydroxyphenyl) carbamate (MHPC) expressed as phenmedipham,15.0,15.0,30.0
707,RF-0823-002-PPP,2-Phenylphenol (sum),4-Phenylphenol,15.0,15.0,30.0
646,RF-0694-001-PPP,Flamprop-M-Isopropyl,Flamprop-M-Isopropyl,15.0,15.0,30.0
504,RF-0438-001-PPP,Tridemorph,Tridemorph,15.0,15.0,30.0
219,RF-0137-001-PPP,Dimethenamid (sum),Dimethenamid-p,15.0,15.0,30.0
456,RF-0384-003-PPP,Quizalofop (sum),Quizalofop (including Quizalfop-P),15.0,15.0,30.0
