,origCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
1685,DE,2012,Not in list,5,5.0,0.752,0.2513,0.0,0.0,0.0
1749,DE,2013,DDT (sum),79,0.0,0.0,0.0,20.0,0.0018,0.0023
1800,DE,2013,Lindane,79,0.0,0.0,0.0,3.0,0.0001,0.0
1761,DE,2013,Endosulfan (sum),65,0.0,0.0,0.0,1.0,0.001,0.0
1794,DE,2013,Hexachlorobenzene,65,1.0,0.0157,0.0,21.0,0.001,0.0007
1716,DE,2013,Benzalkonium chloride,44,3.0,0.2567,0.0451,6.0,0.0272,0.0223
1748,DE,2013,DDAC (mix),44,1.0,0.26,0.0,6.0,0.0282,0.0205
1803,DE,2013,Mercury compounds,10,0.0,0.0,0.0,1.0,0.004,0.0
1916,DE,2014,Copper compounds,119,0.0,0.0,0.0,57.0,0.3382,0.228
1925,DE,2014,DDT (sum),63,0.0,0.0,0.0,20.0,0.0012,0.0008
1991,DE,2014,HCH-alpha,63,0.0,0.0,0.0,1.0,0.0003,0.0
2015,DE,2014,Lindane,63,0.0,0.0,0.0,1.0,0.0002,0.0
1996,DE,2014,Hexachlorobenzene,50,0.0,0.0,0.0,18.0,0.0005,0.0002
1933,DE,2014,Dieldrin (sum),43,0.0,0.0,0.0,1.0,0.0006,0.0
1880,DE,2014,Benzalkonium chloride,37,0.0,0.0,0.0,2.0,0.0125,0.0007
1924,DE,2014,DDAC (mix),37,0.0,0.0,0.0,1.0,0.093,0.0
2208,DE,2015,DDT (sum),104,0.0,0.0,0.0,30.0,0.0014,0.0019
2294,DE,2015,Hexachlorobenzene,102,1.0,0.005,0.0,41.0,0.0011,0.001
2322,DE,2015,Mercury compounds,14,0.0,0.0,0.0,4.0,0.0028,0.0006
2489,DE,2016,DDT (sum),25,0.0,0.0,0.0,3.0,0.0063,0.0012
2545,DE,2016,Mercury compounds,4,1.0,0.0109,0.0,3.0,0.0059,0.0022
2649,DE,2017,DDT (sum),38,0.0,0.0,0.0,4.0,0.0036,0.002
2656,DE,2017,Endosulfan (sum),37,0.0,0.0,0.0,2.0,0.0217,0.0168
2687,DE,2017,Hexachlorobenzene,37,0.0,0.0,0.0,5.0,0.0023,0.0016
2648,DE,2017,DDAC (mix),8,0.0,0.0,0.0,1.0,0.023,0.0
2813,DE,2018,DDT (sum),137,0.0,0.0,0.0,22.0,0.0073,0.0026
2897,DE,2018,Hexachlorobenzene,136,0.0,0.0,0.0,16.0,0.0018,0.0004
2794,DE,2018,Chlorpyrifos,128,0.0,0.0,0.0,1.0,0.0041,0.0
2812,DE,2018,DDAC (mix),10,0.0,0.0,0.0,1.0,0.033,0.0
2801,DE,2018,Copper compounds,1,0.0,0.0,0.0,1.0,0.125,0.0
3082,DE,2019,DDT (sum),32,0.0,0.0,0.0,6.0,0.0056,0.0007
3133,DE,2019,Hexachlorobenzene,32,0.0,0.0,0.0,1.0,0.0013,0.0
3140,DE,2019,Lambda-cyhalothrin (sum),29,0.0,0.0,0.0,1.0,0.0026,0.0
3311,DE,2021,DDT (sum),126,0.0,0.0,0.0,6.0,0.0045,0.0022
3420,DE,2021,Hexachlorobenzene,126,0.0,0.0,0.0,12.0,0.0008,0.0
3297,DE,2021,Copper compounds,69,1.0,2.24,0.0,7.0,0.2697,0.4198
3455,DE,2021,Mercury compounds,65,2.0,0.017,0.0028,20.0,0.0025,0.0019
3238,DE,2021,BAC 16,39,1.0,1.65,0.0,0.0,0.0,0.0
3247,DE,2021,Benzalkonium chloride,39,1.0,1.65,0.0,0.0,0.0,0.0
3310,DE,2021,DDAC (mix),39,0.0,0.0,0.0,1.0,0.029,0.0
3630,DE,2022,DDT (sum),28,0.0,0.0,0.0,5.0,0.005,0.0019
3651,DE,2022,HCH-beta,28,0.0,0.0,0.0,2.0,0.0024,0.0008
3653,DE,2022,Hexachlorobenzene,28,0.0,0.0,0.0,7.0,0.0017,0.0006
3708,DE,2023,BAC 12,19,0.0,0.0,0.0,1.0,0.02,0.0
3714,DE,2023,Benzalkonium chloride,19,0.0,0.0,0.0,1.0,0.02,0.0
3735,DE,2023,DDAC (mix),19,0.0,0.0,0.0,1.0,0.021,0.0
3891,DE,2024,DDT (sum),139,0.0,0.0,0.0,4.0,0.0072,0.0047
3947,DE,2024,Hexachlorobenzene,139,0.0,0.0,0.0,3.0,0.0023,0.0023
3953,DE,2024,Lindane,139,0.0,0.0,0.0,2.0,0.001,0.0
3958,DE,2024,Mercury compounds,7,0.0,0.0,0.0,1.0,0.0054,0.0
4180,DK,2014,Copper compounds,5,0.0,0.0,0.0,2.0,0.08,0.0028
4193,DK,2014,Hexachlorobenzene,2,0.0,0.0,0.0,2.0,0.0003,0.0001
4799,DK,2024,Hexachlorobenzene,6,0.0,0.0,0.0,1.0,0.001,0.0
4802,DK,2024,Lindane,6,0.0,0.0,0.0,1.0,0.001,0.0
4843,EE,2012,DDT (sum),5,0.0,0.0,0.0,2.0,0.002,0.0014
4857,EE,2012,Hexachlorobenzene,5,0.0,0.0,0.0,3.0,0.0023,0.0015
4883,EE,2015,Bromuconazole (sum),10,1.0,0.017,0.0,0.0,0.0,0.0
5208,FI,2012,Hexachlorobenzene,2,0.0,0.0,0.0,1.0,0.001,0.0
5353,FR,2012,DDT (sum),7,0.0,0.0,0.0,2.0,0.0008,0.0002
5372,FR,2012,Hexachlorobenzene,6,0.0,0.0,0.0,1.0,0.001,0.0
5490,FR,2015,BAC 12,35,0.0,0.0,0.0,4.0,0.02,0.0082
5494,FR,2015,Benzalkonium chloride,35,0.0,0.0,0.0,4.0,0.02,0.0082
5521,FR,2015,DDAC (mix),35,0.0,0.0,0.0,4.0,0.055,0.052
6344,FR,2021,Mercury compounds,1,1.0,0.026,0.0,0.0,0.0,0.0
6444,GB,2012,DDT (sum),58,0.0,0.0,0.0,1.0,0.023,0.0
6614,GB,2012,Piperonyl Butoxide,3,1.0,0.03,0.0,0.0,0.0,0.0
6689,GB,2014,BAC 12,56,0.0,0.0,0.0,9.0,0.0322,0.0282
6690,GB,2014,BAC 14,56,0.0,0.0,0.0,2.0,0.035,0.0212
6692,GB,2014,Benzalkonium chloride,56,0.0,0.0,0.0,9.0,0.0344,0.0305
6701,GB,2014,DDAC (mix),56,0.0,0.0,0.0,7.0,0.0471,0.0281
6768,GB,2015,Dieldrin (sum),123,1.0,0.01,0.0,0.0,0.0,0.0
6738,GB,2015,BAC 12,122,8.0,0.225,0.0463,37.0,0.0486,0.0295
6739,GB,2015,BAC 14,122,0.0,0.0,0.0,37.0,0.0335,0.0246
6740,GB,2015,BAC 16,122,0.0,0.0,0.0,1.0,0.01,0.0
6742,GB,2015,Benzalkonium chloride,122,11.0,0.2727,0.1191,36.0,0.0553,0.0326
6762,GB,2015,DDAC (mix),121,0.0,0.0,0.0,3.0,0.0433,0.0493
6877,GB,2018,Chlorate,35,0.0,0.0,0.0,16.0,0.0262,0.012
6944,GB,2018,Permethrin (sum),35,0.0,0.0,0.0,1.0,0.01,0.0
8150,IE,2012,Hexachlorobenzene,23,0.0,0.0,0.0,1.0,0.002,0.0
8314,IE,2013,DDT (sum),1,0.0,0.0,0.0,1.0,0.004,0.0
8325,IE,2013,Hexachlorobenzene,1,0.0,0.0,0.0,1.0,0.002,0.0
8394,IE,2015,BAC 12,5,1.0,0.2,0.0,1.0,0.02,0.0
8395,IE,2015,BAC 14,5,0.0,0.0,0.0,2.0,0.03,0.0283
8399,IE,2015,Benzalkonium chloride,5,1.0,0.3,0.0,1.0,0.03,0.0
9139,IE,2018,Hexachlorobenzene,15,0.0,0.0,0.0,1.0,0.0011,0.0
9110,IE,2018,Diphenylamine,7,0.0,0.0,0.0,1.0,0.01,0.0
9215,IE,2021,Copper compounds,14,0.0,0.0,0.0,2.0,0.066,0.0523
9244,IE,2021,Mercury compounds,9,0.0,0.0,0.0,5.0,0.0028,0.0013
9278,IE,2022,Hexachlorobenzene,2,0.0,0.0,0.0,1.0,0.0014,0.0
9607,IT,2011,Endosulfan (sum),31,0.0,0.0,0.0,1.0,0.001,0.0
9598,IT,2011,DDT (sum),29,0.0,0.0,0.0,15.0,0.0025,0.0016
9623,IT,2011,HCH-alpha,29,0.0,0.0,0.0,2.0,0.003,0.0
9627,IT,2011,Hexachlorobenzene,29,0.0,0.0,0.0,15.0,0.0028,0.0009
9636,IT,2011,Lindane,29,0.0,0.0,0.0,3.0,0.001,0.0
9624,IT,2011,HCH-beta,21,0.0,0.0,0.0,2.0,0.002,0.0
9744,IT,2012,DDT (sum),34,0.0,0.0,0.0,13.0,0.0018,0.001
9805,IT,2012,HCH-beta,34,0.0,0.0,0.0,1.0,0.002,0.0
9808,IT,2012,Hexachlorobenzene,29,0.0,0.0,0.0,16.0,0.0028,0.0007
9958,IT,2013,Chlordane (sum),11,0.0,0.0,0.0,1.0,0.0004,0.0
9978,IT,2013,DDT (sum),11,0.0,0.0,0.0,1.0,0.0021,0.0
10045,IT,2013,Hexachlorobenzene,11,0.0,0.0,0.0,2.0,0.0004,0.0001
