,customSampleId,pesticideCount,pesticideCode,tag,resVal,resType
134,144A5,2,RF-0120-001-PPP,Deltamethrin,,LOQ
135,144A5,2,RF-0653-001-PPP,Endrin ketone,,LOQ
136,144A5,2,RF-0108-001-PPP,Cyfluthrin (sum),,LOQ
137,144A5,2,RF-0239-002-PPP,HCH-beta,,LOQ
138,144A5,2,RF-0797-001-PPP,Mirex,,LOQ
139,144A5,2,RF-0866-001-PPP,Propetamphos,,LOQ
140,144A5,2,RF-0238-001-PPP,HCH-alpha,,LOQ
141,144A5,2,RF-0155-001-PPP,Endosulfan (sum),,LOQ
142,144A5,2,RF-0690-004-PPP,Fenvalerate and Esfenvalerate (sum of isomers),,LOQ
143,144A5,2,RF-0156-001-PPP,Endrin,,LOQ
144,144A5,2,RF-0515-001-PPP,Bromocyclen,,LOQ
145,144A5,2,RF-0837-001-PPP,Pentachloroanisole,,LOQ
146,144A5,2,RF-0263-001-PPP,Lindane,,LOQ
147,144A5,2,RF-0112-002-PPP,Cypermethrin (sum),,LOQ
148,144A5,2,RF-0311-001-PPP,Nitrofen,,LOQ
149,144A5,2,RF-0295-001-PPP,Methoxychlor,,LOQ
150,144A5,2,RF-0075-005-PPP,Chlordane (sum),,LOQ
151,144A5,2,RF-0690-005-PPP,Fenvalerate and Esfenvalerate (sum of isomers),,LOQ
152,144A5,2,RF-0406-001-PPP,Tecnazene,,LOQ
153,144A5,2,RF-0240-004-PPP,HCH (sum),,LOQ
154,1660B,1,RF-0021-001-PPP,Dieldrin (sum),,LOQ
155,1660B,1,RF-0690-004-PPP,Fenvalerate and Esfenvalerate (sum of isomers),,LOQ
156,1660B,1,RF-0311-001-PPP,Nitrofen,,LOQ
157,1660B,1,RF-0236-006-PPP,Heptachlor (sum of isomers),,LOQ
158,1660B,1,RF-0156-001-PPP,Endrin,,LOQ
159,1660B,1,RF-0328-001-PPP,Parathion-methyl (sum),,LOQ
160,1660B,1,RF-0123-001-PPP,Diazinon,,LOQ
161,1660B,1,RF-0653-001-PPP,Endrin ketone,,LOQ
162,1660B,1,RF-0046-001-PPP,Bifenthrin (sum),,LOQ
163,1660B,1,RF-0295-001-PPP,Methoxychlor,,LOQ
164,1660B,1,RF-0351-001-PPP,Profenofos,,LOQ
165,1660B,1,RF-0088-001-PPP,Chlorpyrifos-methyl,,LOQ
166,1660B,1,RF-0079-001-PPP,Chlorfenvinphos,,LOQ
167,1660B,1,RF-0032-001-PPP,Azinphos-ethyl,,LOQ
168,1660B,1,RF-0238-001-PPP,HCH-alpha,,LOQ
169,1660B,1,RF-0161-001-PPP,Ethion,,LOQ
170,1660B,1,RF-0237-001-PPP,Hexachlorobenzene,,LOQ
171,1660B,1,RF-0736-001-PPP,HCH (sum),,LOQ
172,1660B,1,RF-0112-001-PPP,Cypermethrin (sum),,LOQ
173,1660B,1,RF-0515-001-PPP,Bromocyclen,,LOQ
174,1660B,1,RF-0119-001-PPP,DDT (sum),0.003,VAL
175,1660B,1,RF-0187-001-PPP,Fenthion (sum),,LOQ
176,1660B,1,RF-0087-001-PPP,Chlorpyrifos,,LOQ
177,1660B,1,RF-0261-001-PPP,Lambda-Cyhalothrin (sum),,LOQ
178,1660B,1,RF-0327-001-PPP,Parathion,,LOQ
179,1660B,1,RF-0120-001-PPP,Deltamethrin,,LOQ
180,1660B,1,RF-0383-001-PPP,Quintozene (sum),,LOQ
181,1660B,1,RF-0239-002-PPP,HCH-beta,,LOQ
182,1660B,1,RF-0690-005-PPP,Fenvalerate and Esfenvalerate (sum of isomers),,LOQ
183,1660B,1,RF-0236-001-PPP,Heptachlor (sum),,LOQ
184,1660B,1,RF-0373-001-PPP,Pyrazophos,,LOQ
185,1660B,1,RF-0075-005-PPP,Chlordane (sum),,LOQ
186,1660B,1,RF-0290-001-PPP,Methidathion,,LOQ
187,1660B,1,RF-0842-001-PPP,Permethrin (sum),,LOQ
188,1660B,1,RF-0108-001-PPP,Cyfluthrin (sum),,LOQ
189,1660B,1,RF-0331-001-PPP,Pendimethalin,,LOQ
190,1660B,1,RF-0240-004-PPP,HCH (sum),,LOQ
191,1660B,1,RF-0348-001-PPP,Pirimiphos-methyl (sum),,LOQ
192,1660B,1,RF-0155-001-PPP,Endosulfan (sum),,LOQ
193,1660B,1,RF-0263-001-PPP,Lindane,,LOQ
194,1660B,1,RF-0406-001-PPP,Tecnazene,,LOQ
195,1660B,1,RF-0432-001-PPP,Triazophos,,LOQ
196,1A7B8,1,RF-0088-001-PPP,Chlorpyrifos-methyl,,LOQ
197,1A7B8,1,RF-0238-001-PPP,HCH-alpha,,LOQ
198,1A7B8,1,RF-0032-001-PPP,Azinphos-ethyl,,LOQ
199,1A7B8,1,RF-0046-001-PPP,Bifenthrin (sum),,LOQ
200,1A7B8,1,RF-0263-001-PPP,Lindane,,LOQ
201,1A7B8,1,RF-0087-001-PPP,Chlorpyrifos,,LOQ
202,1A7B8,1,RF-0236-001-PPP,Heptachlor (sum),,LOQ
203,1A7B8,1,RF-0120-001-PPP,Deltamethrin,,LOQ
204,1A7B8,1,RF-0736-001-PPP,HCH (sum),,LOQ
205,1A7B8,1,RF-0295-001-PPP,Methoxychlor,,LOQ
206,1A7B8,1,RF-0236-006-PPP,Heptachlor (sum of isomers),,LOQ
207,1A7B8,1,RF-0123-001-PPP,Diazinon,,LOQ
