,sampleId,sampCountry,origCountry,productCode,efsaProductCode,productTreat,progType,pesticideCode,resVal,fatPerc,resType,year,tag,short_name,long_name,paramcode,limit,mandatory
5003,E2735A0C5EB00EC0E782C51DBE909EEC,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.0009,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5011,E73144C87985544E257CBEDDDC9D69A1,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.003,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5033,3D06329529F31D6EFE7C132A9C056755,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.001,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5064,BA327179AD3444489DBA3DAD3045D814,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,4e-05,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5066,FD9046FB67F58CEB02329058F1A77F6A,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,4e-05,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5070,A24BAC69B97438BF180307DA102F21E0,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.00012,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5093,CB960EC3852C9017E27E269931D583B3,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.0002,-1.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5109,5438F2DC6EE074B22C2AF0DE3A8414E9,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.0009,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5112,D5467510CE1C22A108D573F6B77F7158,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.00021,-1.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5118,4B880471C7F3248EC1056A2AC213ECE7,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.0009,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
